CC,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
POL,0.25310913999999995,0.7394799999999998,0.66338,0.020024008800000003,6.14,0.161222,-6.90088,0.5,0.16124600000000006,122.74893999999999,3.86,0.5493039999999999
HND,0.26670939999999993,0.7257799999999998,0.6866199999999999,0.025615730800000003,6.38,0.181096,-5.202980000000001,0.54,0.156152,129.81242,3.9,0.6222800000000002
SWE,0.33724740000000003,0.68698,0.54004,0.011048067200000004,5.88,0.155582,-8.496019999999998,0.64,0.14286400000000002,123.68818,3.74,0.49813999999999997
NOR,0.23761619999999994,0.7093200000000001,0.6597400000000002,0.003087113199999999,5.02,0.21262,-6.839360000000003,0.52,0.181448,125.09883999999997,3.82,0.5734440000000002
LUX,0.24413274,0.7075199999999999,0.6398600000000002,0.0150623806,5.46,0.146244,-6.946859999999997,0.52,0.15360800000000002,123.47618000000004,3.94,0.5115000000000001
CYP,0.254772,0.6912399999999999,0.6355200000000001,0.00013605939999999998,4.86,0.13707400000000006,-6.977239999999999,0.4,0.10635,122.1473,3.94,0.508652
BRA,0.3358354199999998,0.7049599999999998,0.6614999999999999,0.0180689586,5.88,0.28712199999999993,-6.084419999999999,0.56,0.12684600000000001,125.33852,3.9,0.6398200000000002
FRA,0.273378,0.7437799999999997,0.6592,0.04164598340000001,5.06,0.159754,-6.713039999999999,0.36,0.13335799999999998,118.74447999999998,3.9,0.5634859999999999
ECU,0.25396139999999995,0.7429800000000002,0.6999399999999999,0.036816316,5.82,0.182502,-5.112559999999998,0.62,0.15595,125.84371999999998,3.9,0.6655800000000001
GTM,0.2794014,0.7349800000000001,0.65718,0.02559987960000001,5.82,0.16841800000000004,-5.278,0.66,0.151564,126.24429999999998,3.9,0.64236
BEL,0.27532739999999994,0.7249399999999999,0.620996,0.0322589954,5.2,0.16613999999999998,-7.273259999999999,0.52,0.14644599999999994,118.73418000000001,3.82,0.5718239999999999
TUR,0.2901213999999999,0.6816400000000001,0.6140199999999999,0.0255359784,5.46,0.15751600000000007,-7.6724999999999985,0.4,0.11010600000000002,120.14736,4.02,0.470552
NLD,0.20992049999999995,0.7235400000000002,0.6633199999999999,0.0009396492,5.56,0.16963800000000004,-6.7426999999999975,0.52,0.15836799999999998,123.50804,3.84,0.61188
HKG,0.43755834,0.5926600000000002,0.5766600000000001,0.0016843209999999995,5.48,0.147106,-6.345719999999999,0.68,0.0679,129.67113999999998,3.96,0.44530000000000025
MYS,0.44792974,0.60482,0.5137999999999999,0.0038076146,5.64,0.168978,-7.365899999999997,0.58,0.062344000000000004,123.38056,3.88,0.43040200000000006
IDN,0.5712137400000002,0.5861200000000003,0.4610119999999999,0.008509349000000001,5.0,0.18250400000000006,-8.087039999999998,0.7,0.050870000000000005,120.07815999999997,3.92,0.439906
EST,0.250672,0.7296999999999997,0.6292999999999999,0.03655848100000001,6.0,0.164748,-6.8599,0.4,0.147402,127.79756,3.98,0.5002080000000002
ESP,0.23975894000000006,0.74912,0.7002999999999999,0.022374426,4.92,0.16360400000000005,-5.770859999999997,0.62,0.154712,116.31674,3.98,0.6358400000000001
CZE,0.2483614,0.6919800000000003,0.6536799999999999,0.008743132800000001,5.18,0.149162,-6.81438,0.4,0.155176,128.39883999999998,3.94,0.5242340000000002
CRI,0.35003939999999995,0.7143999999999998,0.6744400000000002,0.02569502340000001,5.58,0.177938,-5.738719999999998,0.6,0.16065000000000004,125.02061999999998,3.82,0.6301199999999999
VNM,0.4190297399999999,0.6375600000000001,0.5451599999999999,0.0185231144,6.14,0.15865,-6.8252,0.54,0.086586,122.45010000000006,3.94,0.4717200000000002
AUS,0.19468193999999994,0.7166800000000002,0.6325599999999997,5.0275600000000004e-05,5.92,0.193384,-6.4406,0.54,0.16070800000000002,126.57465999999997,3.88,0.5461
